fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag
2021,146529000000,131121000000,15408000000,56197000000,22777000000,17924000000,2423000000.0,4044000000,76670000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.5232411331545291,7.397441188609162,4.277505021200625,0.2970783878961784,,False,False,False
2022,138805000000,121551000000,17254000000,58054000000,24943000000,18117000000,2230000000.0,2473000000,63270000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.45581931486617916,8.124215246636771,3.492300049677099,0.3942310731784416,0.03304446856593768,False,False,False
2023,134711000000,124351000000,10360000000,54318000000,22839000000,12757000000,2224000000.0,822000000,59385000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4408325971895391,5.736061151079137,4.655091322411225,0.38459206870421825,-0.06435387742446685,False,False,False
2024,135161000000,131836000000,3325000000,56334000000,18806000000,9137000000,2808000000.0,-22000000,67144000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4967705181228313,3.2539173789173788,7.34858268578308,0.2800845943047778,0.037114768584999513,False,False,False
2025,133960000000,137230000000,-3270000000,61160000000,19030000000,15075000000,2893000000.0,1816000000,64997000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4851970737533592,5.210853784998272,4.311575456053068,0.2927827438189455,0.08566762523520421,False,False,False
2021,11571000000,12233000000,-662000000,1681000000,2039000000,409000000,432000000.0,88000000,6366000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.5501685247601763,0.9467592592592593,15.56479217603912,0.32029531888155827,,False,False,False
2022,6026000000,7544000000,-1518000000,1604000000,1492000000,202000000,388000000.0,91000000,4854000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.8055094590109525,0.520618556701031,24.02970297029703,0.3073753605274001,-0.045806067816775764,False,False,False
2023,5494000000,7700000000,-2206000000,2889000000,1144000000,653000000,348000000.0,434000000,4862000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.8849654168183473,1.8764367816091954,7.445635528330781,0.23529411764705882,0.8011221945137157,False,False,False
2024,5463000000,7090000000,-1627000000,7429000000,954000000,1285000000,345000000.0,878000000,4388000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.8032216730734029,3.7246376811594204,3.4147859922178987,0.21741112123974476,1.571478020076151,False,False,False
2025,4872000000,6257000000,-1385000000,7307000000,886000000,1266000000,312000000.0,798000000,3884000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.7972085385878489,4.0576923076923075,3.0679304897314377,0.22811534500514932,-0.016422129492529303,False,False,False
