fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag,debt_to_asset_score,interest_coverage_score,debt_to_ebit_score,cashflow_to_debt_score,revenue_trend_score,composite_0_10,composite_score,composite_score_calibrated
2021,146529000000,131121000000,15408000000,56197000000,22777000000,17924000000,2423000000.0,4044000000,76670000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.5232411331545291,7.397441188609162,4.277505021200625,0.2970783878961784,,False,False,False,4.0,8.0,4.0,9.0,,6.722222222222222,67.22222222222223,52.96885490491011
2022,138805000000,121551000000,17254000000,58054000000,24943000000,18117000000,2230000000.0,2473000000,63270000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4558193148661791,8.124215246636771,3.492300049677099,0.3942310731784416,0.0330444685659376,False,False,False,4.0,10.0,6.0,10.0,5.0,7.800000000000002,78.00000000000001,67.19722896980336
2023,134711000000,124351000000,10360000000,54318000000,22839000000,12757000000,2224000000.0,822000000,59385000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4408325971895391,5.736061151079137,4.655091322411225,0.3845920687042182,-0.0643538774244668,False,False,False,4.0,8.0,4.0,10.0,3.0,6.6000000000000005,66.0,51.43636824405026
2024,135161000000,131836000000,3325000000,56334000000,18806000000,9137000000,2808000000.0,-22000000,67144000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4967705181228313,3.2539173789173788,7.34858268578308,0.2800845943047778,0.0371147685849995,False,False,False,4.0,6.0,4.0,9.0,5.0,5.950000000000001,59.500000000000014,43.57397151505535
2025,133960000000,137230000000,-3270000000,61160000000,19030000000,15075000000,2893000000.0,1816000000,64997000000.0,False,ABBV,1551152,Healthcare,ABBVIE INC.,0.4851970737533592,5.210853784998272,4.311575456053068,0.2927827438189455,0.0856676252352042,False,False,False,4.0,8.0,4.0,9.0,7.0,6.750000000000001,67.50000000000001,53.319496112502904
2021,11571000000,12233000000,-662000000,1681000000,2039000000,409000000,432000000.0,88000000,6366000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.5501685247601763,0.9467592592592592,15.56479217603912,0.3202953188815582,,False,False,False,4.0,2.0,0.0,9.0,,3.833333333333334,38.33333333333334,21.56366305068353
2022,6026000000,7544000000,-1518000000,1604000000,1492000000,202000000,388000000.0,91000000,4854000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.8044113217609287,0.520618556701031,22.905923420660674,0.3073753605274001,-0.0458060678167757,False,False,False,0.0,2.0,0.0,9.0,5.0,3.3500000000000005,33.50000000000001,17.38087720289421
2023,5494000000,7700000000,-2206000000,2889000000,1144000000,653000000,348000000.0,434000000,4862000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.8044113217609287,1.8764367816091956,7.445635528330781,0.2352941176470588,0.8011221945137157,False,False,False,0.0,4.0,4.0,9.0,10.0,5.250000000000001,52.50000000000001,35.66603943709315
2024,5463000000,7090000000,-1627000000,7429000000,954000000,1285000000,345000000.0,878000000,4388000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.8032216730734029,3.724637681159421,3.4147859922178987,0.2174111212397447,1.571478020076151,False,False,False,0.0,6.0,6.0,9.0,10.0,6.250000000000001,62.50000000000001,47.1420026292591
2025,4872000000,6257000000,-1385000000,7307000000,886000000,1266000000,312000000.0,798000000,3884000000.0,False,BBWI,701985,Retail,"Bath & Body Works, Inc.",0.7972085385878489,4.057692307692308,3.0679304897314377,0.2281153450051493,-0.0164221294925293,False,False,False,2.0,8.0,6.0,9.0,5.0,6.650000000000001,66.50000000000001,52.06125492661121
2021,19067000000,14480000000,4587000000,47262000000,4927000000,2391000000,52000000.0,1798000000,1363000000.0,False,BBY,764478,Retail,"BEST BUY CO., INC.",0.0714847642523732,45.98076923076923,0.5700543705562526,3.614820249449743,,False,False,False,10.0,10.0,10.0,10.0,,10.000000000000002,100.00000000000001,100.0
2022,17504000000,14484000000,3020000000,51761000000,3252000000,3039000000,25000000.0,2454000000,1216000000.0,False,BBY,764478,Retail,"BEST BUY CO., INC.",0.0694698354661791,121.56,0.4001316222441592,2.674342105263158,0.0951927552790825,False,False,False,10.0,10.0,10.0,10.0,7.0,9.700000000000001,97.00000000000001,95.24337464098011
2023,15803000000,13008000000,2795000000,46298000000,1824000000,1795000000,35000000.0,1419000000,1160000000.0,False,BBY,764478,Retail,"BEST BUY CO., INC.",0.0734037840916281,51.285714285714285,0.6462395543175488,1.5724137931034483,-0.1055427831765228,False,False,False,10.0,10.0,10.0,10.0,3.0,9.300000000000002,93.00000000000003,89.03745086448069
2024,14967000000,11914000000,3053000000,43452000000,1470000000,1574000000,52000000.0,1241000000,1152000000.0,False,BBY,764478,Retail,"BEST BUY CO., INC.",0.0769693325315694,30.26923076923077,0.7318932655654383,1.2760416666666667,-0.0614713378547669,False,False,False,10.0,10.0,10.0,10.0,3.0,9.300000000000002,93.00000000000003,89.03745086448069
2025,14782000000,11974000000,2808000000,41528000000,2098000000,1262000000,51000000.0,927000000,1144000000.0,False,BBY,764478,Retail,"BEST BUY CO., INC.",0.0773914219997294,24.745098039215687,0.9064976228209192,1.833916083916084,-0.0442787443615944,False,False,False,10.0,10.0,10.0,10.0,5.0,9.500000000000002,95.00000000000001,92.1208143458297
2021,44453000000,42662000000,1791000000,162467000000,2429000000,472000000,180000000.0,611000000,6236000000.0,False,CAH,721371,Healthcare,"Cardinal Health, Inc.",0.1402829955233617,2.6222222222222222,13.21186440677966,0.3895125080179602,,False,False,False,8.0,6.0,0.0,10.0,,6.111111111111112,61.111111111111114,45.477050306031714
2022,43878000000,44587000000,-709000000,51468000000,3175000000,-86000000,24000000.0,-77000000,5315000000.0,False,CAH,721371,Healthcare,"Cardinal Health, Inc.",0.1211313186562742,-3.583333333333333,-50.11409003627054,0.5973659454374413,-0.2789270688200296,False,False,False,8.0,0.0,0.0,10.0,0.0,3.7000000000000006,37.00000000000001,20.37617953292714
2023,43349000000,46307000000,-2958000000,57442000000,2844000000,505000000,3000000.0,368000000,4701000000.0,False,CAH,721371,Healthcare,"Cardinal Health, Inc.",0.1084454081985743,168.33333333333334,9.30891089108911,0.6049776643267389,0.1160721224838734,False,False,False,8.0,10.0,2.0,10.0,7.0,7.800000000000002,78.00000000000001,67.19722896980336
2024,45121000000,48334000000,-3213000000,226827000000,3762000000,1243000000,51000000.0,852000000,5092000000.0,False,CAH,721371,Healthcare,"Cardinal Health, Inc.",0.1128521087741849,24.37254901960784,4.096540627514079,0.7388059701492538,2.948800529229484,False,False,False,8.0,10.0,4.0,10.0,10.0,8.500000000000002,85.00000000000001,77.10282331663666
2025,53122000000,55903000000,-2781000000,222578000000,2397000000,2275000000,215000000.0,1561000000,8527000000.0,False,CAH,721371,Healthcare,"Cardinal Health, Inc.",0.1605172998004593,10.581395348837209,3.748131868131868,0.2811070716547437,-0.018732337861013,False,False,False,8.0,10.0,6.0,9.0,5.0,8.150000000000002,81.50000000000003,72.08620689596835
2021,59268000000,41190000000,17564000000,195929000000,8958000000,6708000000,171000000.0,5007000000,7531000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.1270668826348113,39.2280701754386,1.1226893261776982,1.189483468330899,,False,False,False,8.0,10.0,8.0,10.0,,9.222222222222223,92.22222222222223,87.8490223492432
2022,64166000000,43519000000,20642000000,226954000000,7392000000,7793000000,158000000.0,5844000000,6484000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.1010504005236418,49.322784810126585,0.832028743744386,1.1400370141887723,0.1583481771458028,False,False,False,8.0,10.0,10.0,10.0,9.0,9.600000000000001,96.00000000000001,93.67721544706062
2023,68994000000,43936000000,25058000000,242290000000,11068000000,8114000000,160000000.0,6292000000,5377000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.0779343131286778,50.7125,0.6626817845698793,2.0583968755811792,0.0675731646060435,False,False,False,10.0,10.0,10.0,10.0,7.0,9.700000000000001,97.00000000000001,95.24337464098011
2024,69831000000,46209000000,23622000000,254453000000,11339000000,9285000000,169000000.0,7367000000,5794000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.0829717460726611,54.94082840236686,0.6240172320947766,1.95702450811184,0.0502001733459902,False,False,False,10.0,10.0,10.0,10.0,7.0,9.700000000000001,97.00000000000001,95.24337464098011
2025,77099000000,47935000000,29164000000,275235000000,13335000000,10383000000,154000000.0,8099000000,5713000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.0740995343649074,67.42207792207792,0.550226331503419,2.334150183791353,0.0816732363147614,False,False,False,10.0,10.0,10.0,10.0,7.0,9.700000000000001,97.00000000000001,95.24337464098011
2021,25862624000,19201386000,6661238000,8414524000,3876159000,872224000,150385000.0,642743000,4130975000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.159727605365952,5.799940153605745,4.736140028249624,0.9383157729107536,,False,False,False,8.0,8.0,4.0,10.0,,7.666666666666667,76.66666666666667,65.36880264113833
2022,26327371000,20065385000,6261986000,34220449000,2865811000,3220675000,157526000.0,2399232000,4172068000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.1584688421794945,20.44535505249927,1.2954017403184117,0.6869041923573633,3.066831231332872,False,False,False,8.0,10.0,8.0,10.0,10.0,9.300000000000002,93.00000000000003,89.03745086448069
2023,29083367000,23541595000,5541772000,37844863000,1984555000,3328302000,211273000.0,2415989000,,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,,15.753560559087058,,,0.1059136892096301,True,False,False,,10.0,,,7.0,9.25,92.5,88.2727735403243
2024,30795591000,24046472000,6749119000,38691609000,2391798000,2446300000,326781000.0,1661274000,768645000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.0249595794410959,7.486053350715005,0.3142071700118546,3.1117069648537363,0.0223741330494444,False,False,False,10.0,8.0,10.0,10.0,5.0,8.900000000000002,89.00000000000003,82.98966483462478
2025,31132733000,23719026000,7413707000,40612308000,2996064000,1714074000,,1125253000,519463000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.0166854288057524,,0.3030575109359339,5.767617712907368,0.0496412284120828,False,True,False,10.0,,10.0,10.0,5.0,9.285714285714286,92.85714285714286,88.8187192850695
2021,97460000000,61332000000,36060000000,138639000000,8364000000,7559000000,798000000.0,6158000000,22756000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.2334906628360352,9.472431077694235,3.0104511178727345,0.3675514150114256,,False,False,False,8.0,10.0,6.0,10.0,,8.777777777777779,87.77777777777779,81.17369791619863
2022,102755000000,66425000000,36243000000,156595000000,8399000000,8283000000,851000000.0,5894000000,23849000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.2320957617634178,9.73325499412456,2.879270795605457,0.3521740953499098,0.129516225593087,False,False,False,8.0,10.0,6.0,10.0,7.0,8.600000000000001,86.00000000000001,78.5592849789299
2023,108928000000,69523000000,39306000000,171340000000,8061000000,8499000000,1030000000.0,5987000000,24895000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.2285454612220916,8.251456310679611,2.929168137427933,0.3237999598312914,0.094160094511319,False,False,False,8.0,10.0,6.0,9.0,7.0,8.350000000000001,83.50000000000001,74.93735511525128
2024,116889000000,75463000000,41315000000,177011000000,5808000000,7862000000,,5980000000,30867000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.2640710417575648,,3.9261002289493767,0.1881621148799689,0.0330979339325319,False,True,False,6.0,,6.0,7.0,5.0,6.214285714285714,62.142857142857146,46.7117294766109
2025,121494000000,77468000000,43882000000,199125000000,4290000000,7199000000,,5662000000,31896000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.2625314830361993,,4.430615363244895,0.1344996237772761,0.1249300890905085,False,True,False,6.0,,4.0,7.0,7.0,5.92857142857143,59.2857142857143,43.32315641690048
2021,4299000000,1256800000,3042200000,6010900000,770100000,1217400000,9700000.0,925000000,390000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.090718771807397,125.50515463917526,0.3203548546081813,1.9746153846153849,,False,False,False,10.0,10.0,10.0,10.0,,10.000000000000002,100.00000000000001,100.0
2022,4548600000,1385400000,3163200000,6980600000,941000000,1453600000,14300000.0,1086900000,555000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.1220155652288616,101.65034965034964,0.381810676940011,1.6954954954954955,0.1613235954682326,False,False,False,8.0,10.0,10.0,10.0,9.0,9.600000000000001,96.00000000000001,93.67721544706062
2023,4462900000,1114100000,3348800000,7346700000,1432700000,1528700000,10800000.0,1155000000,260000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.0582580833090591,141.5462962962963,0.1700791522208412,5.510384615384615,0.052445348537375,False,False,False,10.0,10.0,10.0,10.0,7.0,9.700000000000001,97.00000000000001,95.24337464098011
2024,4698000000,1081700000,3616300000,7546000000,1173300000,1510000000,,1150600000,200000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.042571306939123,,0.1324503311258278,5.8665,0.0271278260987926,False,True,False,10.0,,10.0,10.0,5.0,9.285714285714286,92.85714285714286,88.8187192850695
2025,5052900000,1109300000,3943600000,8200500000,1295900000,1655700000,,1258400000,125000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.0247382691127867,,0.075496768738298,10.3672,0.086734693877551,False,True,False,10.0,,10.0,10.0,7.0,9.571428571428573,95.71428571428572,93.23153191443735
